Date;Temperature
1975/07/07;20.2
1976/07/10;16
1977/07/16;17.7
1978/07/17;16.75
1979/07/14;17.5
1980/07/06;16.775
1981/07/17;19.8
1982/07/13;19
1983/07/18;21.4
1984/07/10;19.4
1985/07/15;20.4
1986/07/19;16.5
1987/07/14;17.1
1988/07/18;23.8
1989/07/19;19.9
1990/07/10;18.5
1991/07/16;23
1992/07/15;21.9
1993/07/15;18
1994/07/12;21.4
1995/07/03;18.9
1996/07/11;19.1
1997/07/07;21
1998/07/21;18.4
1999/07/12;23.5
2000/07/01;21
2001/07/16;24.2
2002/07/17;23.1
2003/07/16;18
2004/07/19;19.1
2005/07/25;20
2006/07/18;21.3
2007/07/17;19.4
2008/07/17;21.8
2009/07/21;21.9
2010/07/12;24.3
2011/07/13;22.8
2012/07/04;20.2
